기준년월,광역지자체,중분류,소비액(천원)
202408,대전광역시,관광총소비,1.38806673E8
202409,대전광역시,관광총소비,1.31664862E8
202410,대전광역시,관광총소비,1.3351304E8
202411,대전광역시,관광총소비,1.3205144E8
202412,대전광역시,관광총소비,1.37457818E8
202501,대전광역시,관광총소비,1.36381534E8
202502,대전광역시,관광총소비,1.03830058E8
202503,대전광역시,관광총소비,1.18400592E8
202504,대전광역시,관광총소비,1.11840016E8
202505,대전광역시,관광총소비,1.21453394E8
202506,대전광역시,관광총소비,1.09047721E8
202507,대전광역시,관광총소비,1.08575197E8
202408,대전광역시,호텔,622241.0
202408,대전광역시,캠핑장/펜션,621.0
202408,대전광역시,기타숙박,1040661.0
202408,대전광역시,여행업,40061.0
202408,대전광역시,육상운송,5.7441558E7
202408,대전광역시,관광기념품,103322.0
202408,대전광역시,레저용품쇼핑,2328091.0
202408,대전광역시,대형쇼핑몰,3.3240685E7
202408,대전광역시,관광유원시설,88503.0
202408,대전광역시,골프장,1087373.0
202408,대전광역시,기타레저,429800.0
202408,대전광역시,문화서비스,444945.0
202408,대전광역시,식음료,4.19176E7
202408,대전광역시,수상운송,9.0
202408,대전광역시,렌터카,20989.0
202408,대전광역시,콘도,214.0
202409,대전광역시,호텔,434106.0
202409,대전광역시,캠핑장/펜션,357.0
202409,대전광역시,기타숙박,1017057.0
202409,대전광역시,여행업,12390.0
202409,대전광역시,육상운송,5.3275651E7
202409,대전광역시,관광기념품,76290.0
202409,대전광역시,레저용품쇼핑,2506362.0
202409,대전광역시,대형쇼핑몰,3.292919E7
202409,대전광역시,관광유원시설,152239.0
202409,대전광역시,골프장,1220237.0
202409,대전광역시,기타레저,366789.0
202409,대전광역시,문화서비스,384821.0
202409,대전광역시,식음료,3.9271498E7
202409,대전광역시,수상운송,1441.0
202409,대전광역시,렌터카,16434.0
202409,대전광역시,콘도,0.0
202410,대전광역시,호텔,443808.0
202410,대전광역시,캠핑장/펜션,2275.0
202410,대전광역시,기타숙박,1169489.0
202410,대전광역시,육상운송,5.2420813E7
202410,대전광역시,관광기념품,80735.0
202410,대전광역시,레저용품쇼핑,3222566.0
202410,대전광역시,대형쇼핑몰,3.2777262E7
202410,대전광역시,관광유원시설,191549.0
202410,대전광역시,골프장,1336784.0
202410,대전광역시,기타레저,355132.0
202410,대전광역시,문화서비스,244569.0
202410,대전광역시,식음료,4.1231468E7
202410,대전광역시,수상운송,349.0
202410,대전광역시,렌터카,18911.0
202410,대전광역시,콘도,208.0
202411,대전광역시,호텔,606052.0
202411,대전광역시,캠핑장/펜션,420.0
202411,대전광역시,기타숙박,1211074.0
202411,대전광역시,육상운송,4.8994018E7
202411,대전광역시,관광기념품,74384.0
202411,대전광역시,레저용품쇼핑,3012108.0
202411,대전광역시,대형쇼핑몰,3.5807571E7
202411,대전광역시,관광유원시설,116265.0
202411,대전광역시,골프장,1186643.0
202411,대전광역시,기타레저,322681.0
202411,대전광역시,문화서비스,238993.0
202411,대전광역시,식음료,4.0441462E7
202411,대전광역시,수상운송,349.0
202411,대전광역시,렌터카,20895.0
202411,대전광역시,콘도,206.0
202412,대전광역시,호텔,590850.0
202412,대전광역시,캠핑장/펜션,148.0
202412,대전광역시,기타숙박,1145155.0
202412,대전광역시,여행업,13342.0
202412,대전광역시,육상운송,5.289005E7
202412,대전광역시,관광기념품,73695.0
202412,대전광역시,레저용품쇼핑,2646454.0
202412,대전광역시,대형쇼핑몰,3.5585249E7
202412,대전광역시,관광유원시설,105864.0
202412,대전광역시,골프장,774477.0
202412,대전광역시,기타레저,361459.0
202412,대전광역시,문화서비스,418515.0
202412,대전광역시,식음료,4.2835738E7
202412,대전광역시,수상운송,0.0
202412,대전광역시,렌터카,16611.0
202412,대전광역시,콘도,212.0
202501,대전광역시,호텔,474128.0
202501,대전광역시,캠핑장/펜션,266.0
202501,대전광역시,기타숙박,869765.0
202501,대전광역시,육상운송,5.7667121E7
202501,대전광역시,관광기념품,87435.0
202501,대전광역시,레저용품쇼핑,2099293.0
